country_name,country_code,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Middle East & North Africa,MEA,,,,,,,,,11.57812,18.47655,12.27843,16.25968,11.90852,9.94617,-2.42699,15.19243,3.30028,-4.79737,4.6945,-1.03277,1.54959,-1.9527,-2.67378,-1.22249,-0.69324,0.93758,0.16637,3.09633,2.84257,13.11952,4.20447,4.69965,2.84981,2.66755,3.33692,4.72451,3.38192,4.564,1.73918,5.76476,1.19477,1.59295,5.48841,8.02649,5.06818,6.04279,5.16713,4.50468,0.50204,4.98357,3.75083,3.89084,2.79268,2.94692,2.43137,5.02022,1.55441,0.95402,0.47005
Mexico,MEX,5.0,4.66441,8.10689,11.90548,7.1,6.09614,5.85492,9.42328,3.41862,6.50248,3.76247,8.22881,7.86112,5.77683,5.74449,4.41744,3.39064,8.95694,9.69817,9.23325,8.52561,-0.52081,-3.48642,3.41081,2.18769,-3.07896,1.72244,1.28326,4.10551,5.17577,4.21475,3.5411,1.94116,4.94108,-6.29123,6.77326,6.84685,5.16393,2.75355,4.94245,-0.40439,-0.03984,1.44638,3.92059,2.30781,4.49508,2.29145,1.14358,-5.28574,5.11812,3.66301,3.64232,1.35409,2.84977,3.29315,2.63053,2.11313,2.19499,-0.05453
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,4.83123,15.508,3.86603,-6.25729,24.5425,9.36375,7.78905,-1.69161,2.67625,0.08786,7.14086,6.00624,5.8777,8.21323,-10.30295,-6.44566,-0.81936,-1.25515,1.35408,6.82607,3.74147,-1.61587,0.94928,2.28479,0.66816,2.76912,-6.75309,1.44381,7.55539,-0.75614,-2.37034,3.71763,-0.93997,1.59129,1.30667,4.05664,3.62475,
Middle income,MIC,2.43672,3.76062,4.8627,7.83837,5.63315,4.42867,3.78481,6.70287,7.75599,8.13466,6.43327,6.53366,7.50098,6.06731,4.06882,6.73976,4.22003,2.93432,4.13239,3.86014,1.69887,2.67357,1.11195,4.40058,4.35506,4.10342,4.60179,3.80089,2.77781,2.16041,1.30767,0.88299,2.73682,2.38614,3.52243,4.85216,4.88178,2.00544,3.23515,5.63935,3.41439,4.29464,5.42944,7.73965,7.00687,7.89619,8.44798,5.54482,2.33674,7.47124,6.02514,5.1907,5.13744,4.46042,3.96968,4.30137,4.94901,4.43698,3.61234
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.17077,-6.5652,-7.46927,-1.75817,-1.11473,1.1851,1.43998,3.37874,4.33903,4.54914,-3.06726,1.49367,2.2226,4.67409,4.72409,5.13703,6.47349,5.472,-0.35861,3.35875,2.33989,-0.45618,2.92526,3.62912,3.85587,2.84821,1.08177,2.9,3.2
Mali,MLI,,,,,,,,3.70841,0.231,6.13695,2.569,5.84402,-1.45512,-1.52883,11.62505,13.62344,6.34865,-1.46348,10.39568,-4.32584,1.5088,-7.37843,1.82087,-0.28701,20.28663,2.69262,-0.13916,7.38972,4.17739,-2.5024,11.7452,-3.21866,3.17217,3.77993,0.92102,7.05579,4.82902,7.57167,5.70094,-0.06083,15.37624,3.10631,9.11904,1.56,6.53478,4.66219,3.49362,4.77315,4.80632,5.31394,3.21313,-0.83673,2.29507,7.08468,6.1718,5.8523,5.30546,4.74648,4.75134
Malta,MLT,,,,,,,,,,,2.45399,5.83833,4.14614,10.0364,19.56008,17.01709,12.18417,11.16116,10.49077,7.04971,3.31176,2.28445,-0.61239,0.94237,2.58528,3.88519,4.11051,8.41424,8.17911,6.29139,6.25649,4.69093,4.48075,5.6511,6.34249,3.77734,5.25698,5.1256,4.71997,6.77019,-1.1747,2.56526,4.07407,0.14027,3.38359,2.51014,4.77471,3.82636,-1.13387,5.54364,0.46705,4.11771,5.47336,7.63354,9.60813,3.89121,8.01506,5.1786,4.91982
Myanmar,MMR,0.47156,4.08687,13.34929,-5.89402,10.69265,-4.85178,-5.92526,12.05934,3.29174,4.97933,4.12996,2.43584,-0.96812,5.34238,4.15271,6.0804,5.95229,6.51782,5.20128,7.93854,6.35575,5.60388,4.39109,4.93273,2.851,-1.05735,-4.00563,-11.35244,3.6953,2.81693,-0.65062,9.66094,6.03941,7.47796,6.94805,6.44272,5.65158,5.86621,10.94513,13.74593,11.344,12.02551,13.844,13.56466,13.56895,13.0761,11.99144,10.25531,10.55001,9.63444,5.59148,7.33267,8.426,7.99092,6.99284,5.75006,6.40498,6.75046,2.88796
Middle East & North Africa (excluding high income),MNA,,,,,,7.36686,9.57831,11.96391,12.76598,9.50993,9.21261,13.82697,7.0225,6.65541,0.51818,15.36109,-1.06666,-6.36512,-2.98182,-11.93661,-0.69243,15.74416,4.57154,-1.78063,3.1493,-2.9328,1.83216,-0.70214,2.74267,12.90623,-1.39098,4.64636,2.78933,1.44465,2.55994,6.09056,3.27073,6.81352,4.26552,4.44455,2.22908,3.33456,2.78442,8.09101,4.54493,5.50562,6.08542,3.53679,2.55261,5.24947,-0.93901,2.79948,1.71887,2.11661,0.7444,7.83602,2.90672,-0.37808,-0.36618
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90001,-9.4,3.1,1.09984,1.90393,2.48266,4.42605,4.1806,8.56642,6.81015,7.22275,-5.7951,2.73438,3.22842,-2.7238,3.54898,1.78371,3.39039,2.94931,4.71649,5.07791,4.06294
