country_name,country_code,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,4.383627921,8.079745337,8.161430797000001,3.814916166,-0.084012264,5.364016273,10.16499559,7.643793597,11.49382857,6.626368847,5.213272900000001,5.252274656,3.0117146860000004,2.1765786030000003,1.158475191,5.279878709,6.676707102999999,-4.359587382,6.6044597210000004,5.471608482000001,4.731125092,3.70761791,6.203431254,-4.5480034730000005,1.02744197,6.076543687999999,5.767028612000001,6.473831316,12.70814853,9.315383163,-0.014340651999999999,-11.96269725,-7.840594744,-1.958612628,3.3728662000000003,-0.6008763970000001,3.795727613,3.8252930989999996,5.497788456,3.145543603,7.389197162,4.658649157
Australia,AUS,2.4857694919999997,1.296087352,6.214630395,6.978522159,5.983505989,2.382458423,6.30262019,5.0958138,7.044329321,7.1721865760000005,4.003683533999999,3.91252353,2.613723151,4.103362161000001,1.349916787,2.5876962000000003,3.597427567,0.8968798459999999,4.043486692,3.0342458710000004,3.337768138,3.3284419339999998,-2.220470122,4.581297219,5.249329609,4.037528851,2.551170459,5.743381585,3.861173516,3.570998147,-0.3978177,0.41218470100000004,4.029906461,3.983890153,3.8377552930000003,3.878585293,3.966537662,4.576688759,5.073599095,3.933136945,1.930857592,4.001404062,2.985934322,4.055451968,3.204269793,2.794537024,3.8442303160000004,3.6579535260000005,1.93699392,2.067417128,2.462756312,3.9181628710000003,2.5848977019999997,2.533114665,2.1926474259999997,2.770652197,2.300610624,2.949285772,2.160956295
Austria,AUT,5.5379793170000005,2.648675113,4.138267582,6.124353738,3.4801749180000003,5.642861411,3.008047798,4.4723127819999995,6.275867166,6.321142632000001,5.114968585,6.207861086,4.890435317,3.942138071,-0.36373543399999997,4.578445433,5.079980593999999,-0.210653695,5.356699900000001,1.731485595,-0.144294691,2.011254708,2.97308803,0.051274763,2.4986784969999998,2.301393212,1.3571680640000001,3.295879898,3.8870748180000003,4.345641399,3.441627777,2.093524617,0.526809204,2.4021190740000002,2.667983531,2.349533852,2.09359939,3.581425815,3.5563312469999997,3.375722147,1.2671681890000002,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.7645781780000003,1.837093677,2.9227972839999996,0.6804455770000001,0.025504712000000002,0.6612728489999999,1.014501586,1.989437162,2.399587603,2.580120733,1.4187342719999998
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.700000183,-22.60000005,-23.09999931,-19.70000072,-11.79999973,1.299999465,5.800000012000001,10.00000117,7.399999587000001,11.0999995,9.90000013,9.438916342,10.20830001,9.253801326,27.96153807,34.46620936,25.46321591,10.59143729,9.369074777,4.789242792,-1.5729976209999998,2.2029390230000003,5.843415762,2.7975854339999997,1.049546368,-3.0635984539999996,0.153614647,1.500401707,2.218704277
Burundi,BDI,-13.74613505,9.063157935,4.13540742,6.273037903,3.9672256089999998,4.612992896000001,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964922999999,6.889050717999999,-0.726839562,0.697920236,7.942660976,11.46945304,-0.9405759890000001,1.66495495,0.991055725,12.16327557,-1.05359982,3.7153269910000004,0.155544005,11.78318018,3.250180458,5.503096118999999,5.031024368,1.34950223,3.49982214,4.996836448,1.009998371,-6.240000001,-3.829999996,-7.920000003999999,-7.999999998,-1.5899999969999998,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.45195249,4.861712995,3.812746937,5.1241633030000004,4.032602496,4.446708222,4.924195261,4.240651644,-3.9000030860000003,-0.600020001,0.500009999,1.609933082,1.8424766769999998
Belgium,BEL,4.978423063,5.212003509,4.351584282,6.9566847329999995,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.582858283999999,3.98582711,5.295604743,6.381701958,4.5652579730000005,-1.965941566,5.652745932999999,0.626154854,2.8418964910000004,2.341072956,4.444053876,-0.279283279,0.594986772,0.311842703,2.466382805,1.6517928990000001,1.822761831,2.306659566,4.72320888,3.4691669839999997,3.137402316,1.833074277,1.5306549440000001,-0.96187331,3.226971525,2.38475728,1.32145093,3.79365763,1.9618082719999999,3.542743464,3.716679384,1.099618888,1.706884585,1.037982549,3.5712043430000002,2.321737054,2.552349944,3.6768811360000004,0.446928735,-2.0207430619999998,2.8642927080000002,1.6945138990000002,0.739217283,0.45924219299999997,1.578533143,2.041459009,1.266686409,1.608086835,1.812295999,1.743819525
Benin,BEN,3.141280459,-3.426409823,4.730027975,6.650759119,5.293862834,3.575862733,1.078398666,3.842335636,2.8774979760000003,2.097757578,-1.4968418280000002,6.426367544,3.7061653189999997,3.339312161,-4.895345445,0.8843563329999999,4.983663725,1.2550780320000001,6.535747409,6.781763872000001,9.954231167,2.235066345,-4.347822734,7.929839564,7.530324837,2.171141598,-1.500002949,3.405245295,-2.8541604960000004,8.976134361,4.2257994189999994,2.9577108260000005,5.836172088,2.020400448,6.0451986479999995,4.324284031,5.734688377,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871000001,3.4435767760000005,4.429684554,1.7131645640000002,3.9437388280000003,5.986349322000001,4.896577084,2.319292139,2.114064726,2.9637529189999996,4.811223316,7.191433721,6.357679097999999,1.77815106,3.339673426,5.671555468999999,6.697259461,6.865687335
Burkina Faso,BFA,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.0707739380000003,2.026081041,0.117019611,1.4133398819999998,2.311498741,0.449327405,8.286426482000001,2.99838289,8.53489497,0.37035355799999997,4.607825005,3.664621512,0.7968788720000001,4.255303393999999,9.562196623,0.34598474,-1.7786966869999998,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.06998446,0.232710762,3.4613849389999998,1.3150072720000001,5.716373862999999,11.01474387,6.316834735,7.307719635,7.395237801,1.8884738890000001,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164687999999,4.111379018,5.799991741,2.961950859,8.446281577,6.6225626129999995,6.45267238,5.792584845,4.326845615,3.9212287939999997,5.9579767079999995,6.2034894110000005,6.7312356079999995,5.699434934
Bangladesh,BGD,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.5668120009999997,-1.87586392,9.489454015,1.220857909,5.619852292999999,-5.479483027000001,-13.973728699999999,3.325680199,9.591956300000001,-4.088214092,5.661361201,2.67305605,7.0738377329999995,4.801634601,0.8191418690000001,7.233943695,2.1343278359999998,3.8810464,4.803310015,3.3420146539999998,4.173382558999999,3.7724018530000003,2.416256856,2.836582129,5.6222581620000005,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567398999999,5.23953291,6.535944941,6.671904981,7.058599357,6.013789759,5.0451247939999995,5.571788187999999,6.464379123,6.521458781000001,6.0136056579999995,6.061059359,6.552639879,7.113478213,7.284174423,7.86374303,8.152684947000001
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,4.90016186,2.3345655919999997,3.430305913,3.396443623,2.68344074,4.207602004,6.054513839,10.94469206,-3.2898820680000003,-9.117377097,-8.445355177,-7.272387998999999,-1.480214759,1.8180111980000002,2.855051055,5.13891551,-14.19281481,4.285281822,-8.281017413999999,4.7820435230000005,3.817239752,5.953034408,5.151841011,6.441859462999999,7.153541381,6.802167579,6.557081052000001,6.085627607,-3.3748383289999997,0.55944649,2.354556923,0.35658698299999997,0.325769436,1.8854646380000002,3.989851714,3.82043453,3.50275153,3.092447654,3.69430838
